content,label,cleaned_text
"Sebenarnya bagus, hanya tidak ada feature progress servicenya",positif,bagus tidak feature progress servicenya
Error terus saat mau booking service - pemilihan dealer,negatif,error booking service pilih dealer
Sangat memuaskan ramah dan baik semua petugas nya .selalu berikan yg terbaik buat belanggan nya,positif,muas ramah tugas nya yg baik banggan nya
aplikasi ini sangat bagus,positif,aplikasi bagus
Sangat memuaskan petugasnya sangat ramah dan cepat dalam pelayanan,positif,muas tugas ramah cepat layan
Pelayanan ramah dan cepat,positif,layan ramah cepat
Pelayanan ramah dan profesional,positif,layan ramah profesional
Sangat memuaskan,positif,muas
Nice Nice,positif,nice nice
Pelayanan Sales sangat memuaskan,positif,layan sales muas
Tanks atas petunjuknya,positif,tanks tunjuk
Pas,positif,pas
Mempermudah proses booking service,positif,mudah proses booking service
Suruh daftar tapi nungguin kode verifikasinya lama amat si,negatif,suruh daftar nungguin kode verifikasi si
Kok gk bisa tandain lokasi gps aktif semua mau boking service maah susah,negatif,tidak tandain lokasi gps aktif boking service maah susah
Responnya Cepat dan tepat waktu,positif,responnya cepat
Mhn pencerahannya utk memindah mobil dari akun orang ke satu karena saya membeli mobil yg sdh terdaftar di honda ecare. Tks,positif,mhn cerah utk pindah mobil akun orang beli mobil yg sdh daftar honda ecare tks
"Terima kasih saya sudah bisa register, sudah satu Minggu dicoba baru bisa hari ini, setelah di call me dari Honda pusat terimakasih Honda pusat bantuan nya",positif,terima kasih register minggu coba call me honda pusat terimakasih honda pusat bantu nya
Oke,positif,oke
"Setelah update malah tidak bisa di buka ,error path",negatif,update tidak buka error path
"Aplikasinya jelek, ndak beres, akhirnya di hapus.",negatif,aplikasi jelek ndak beres hapus
"Tolong bantuannya, aplikasi honda saya logout sendiri dan login lagi tidak bisa, keterangannya user id dan password salah. Di reset password dengan user id yg sama berhasil diubah, tapi di login dengan password yg sudah diubah keterangannya user id dan password salah. Dicoba berulang2 kali reset password dan login kembali keterangannya masih tetap sama.",negatif,tolong bantu aplikasi honda logout login tidak terang user id password salah reset password user id yg hasil ubah login password yg ubah terang user id password salah coba ulang kali reset password login terang
Apk cepat respon,positif,aplikasi cepat respon
Servis kendaraan jadi mudah,positif,servis kendara mudah
"Sebaiknya tdk usah pakai lampiran KTP, stnk saja cukup, jadi makin susah registrasi nya, padahal dulu sy sdh download dan kendaraan sdh terdaftar...skr malah susah memasukkan daftar kendaraan, tlg dibantu",negatif,tidak pakai lampir ktp stnk susah registrasi nya sdh download kendara sdh daftar skr susah masuk daftar kendara tlg bantu
"hari ini benar2 berasa dirugikan, mau service berkala tapi tiba pas mau bayar, tagihan nya di service tambahan banyak yg kita ga tau, tiba2 ada, sperti, wax body, cleaning glass dan perbersihn ac dll, sampai 2 jutaan, total 5 jutaan, di awal ga di kasi tau, knp bisa di masukin service tambahan sperti itu, padahal mobil sy pakai stiket wrapping full body, apa nya yg mau di wax body dan cleaning glass, mahal lagi, nipu2 halus caranya bgitu, @hondatebet",negatif,asa rugi service kala pas bayar tagih nya service tambah yg tidak tau sperti wax body cleaning glass perbersihn ac dll juta total juta tidak kasi tau knp masukin service tambah sperti mobil pakai stiket wrapping full body nya yg wax body cleaning glass mahal nipu halus bgitu
"Memudahkan bagi konsumen untuk melakukan perbaikan atau penggantian spare part mobil, bisa melihat riwayat perbaikan yang telah diperbaiki",positif,mudah konsumen baik ganti spare part mobil riwayat baik baik
"izin kak, booking tidak bisa di hari H, apakah menjamin dapat antrian jika langsung datang (pagi) ? trus masukan aja kak, untuk ketersediaan sparepart, alangkah baiknya sesama honda bisa nge-link (berkordinasi via telp, wasap), jadi kita konsumen ga random datangi cabang hanya untuk menanyakan ketersedian spare part, terimakasih, maaf bila ada kata yg kurang berkenan",positif,izin kak booking tidak jamin antri langsung pagi trus masuk kak sedia sparepart alangkah baik honda nge link berkordinasi via telp wasap konsumen tidak random datang cabang dian spare part terimakasih maaf yg kurang kenan
"Aplikasi berhenti di 99% ketika di update, lalu aplikasi di hp tampilan info nya menjadi kosong. Akann kembali klo sudah diperbaiki",negatif,aplikasi henti update aplikasi hp tampil info nya kosong akann klo baik
Aplikasi susah dipahami,negatif,aplikasi susah paham
"Gak bisa masuk, kolom email tidak bisa di isi",negatif,tidak masuk kolom email tidak isi
"Mau masuk pertama kali, malah baris email-nya nggak bisa di klik..jadinya nggak bisa masuk.. trus gimana ini? Niat mau servis ke beres, nggak jadi akhirnya..",negatif,masuk kali baris email nya tidak klik tidak masuk trus gimana niat servis beres tidak
Ok sip,positif,ok sip
Update app ngebug,negatif,update aplikasi ngebug
"Vitur terbaru (rem/berhenti otomatis) new HRv benar2 membayahakan, hampir 3x saya dibuat celaka",negatif,vitur baru rem henti otomatis new hrv membayahakan celaka
"Kolom email tidak bisa dimasukan saat hendak menambahkan kendaraan pada aplikasi , tidak bisa disimpan karena email belum terisi",negatif,kolom email tidak masuk kendara aplikasi tidak simpan email belum isi
"Susah banget untuk tambah kendaraan semua salah, harua dibenahi lagi aplikasinya sangat tidak bermanfaat",negatif,susah banget kendara salah harua benah aplikasi tidak manfaat
sdh ke tujuh kali.... tetap tidak masuk,negatif,sdh tujuh kali tidak masuk
"Pelayanan di Honda Komala Karawang, puas..bagus.. ramah2 pokok nya keren!!",positif,layan honda komala karawang puas bagus ramah pokok nya keren
Nomer mesin 3 dijid apaan ini . Di STNK aja bnyak aneh ny aplikasi .,negatif,nomer mesin dijid stnk bnyak aneh ny aplikasi
Hadeuh gimana sih ini? Mau Daftar Mobil Kok Ga bisa bisa hadeuh bikin ribet aja. Dah dicoba 4x tetep ae ga bisa,negatif,hadeuh gimana sih daftar mobil tidak hadeuh bikin ribet dah coba tetep ae tidak
bagus pelayananya memuaskan,positif,bagus pelayananya muas
"Service di union Honda Tangerang, Alhamdulillah aman lancar, pelayanan prima. Mantap terimakasih",positif,service union honda tangerang alhamdulillah aman lancar layan prima mantap terimakasih
"Pelayanan yg ramah dan memberikan penjelasan yg tepat, akurat dan pergantian sparepart yg original pada waktu service kendaraan,,,",positif,layan yg ramah jelas yg akurat ganti sparepart yg original service kendara
"Pengalaman saya ketika membeli paket mini 80rb km, (kesempatan terakhir membeli paket mini krn 90rb km tidak dapat beli lagi) di tgl 16 Des 23 saya tdk dapat datang servis utk ambil 1x servis lagi dan itu hangus. Saya tdk bs karena diluar kota dan sdh telp cs internusa cibinong dan pusat. Tetap tidak bisa. Apakah perusahaan besar sekaku ini? Untuk mempertahankan nasabah loh ini anda tetap kaku terhadap kebijakan anda. Padahal cuma minta kelonggaran sampai 29 Des 23, saya beli loh bkn hutang",negatif,alam beli paket mini rb km sempat beli paket mini rb km tidak beli tgl des tidak servis utk ambil servis hangus tidak bs luar kota sdh telp cs internusa cibinong pusat tidak usaha seka tahan nasabah loh kaku bijak longgar des beli loh bkn hutang
Selalu puas dengan honda,positif,puas honda
STNK lambat,positif,stnk lambat
"mohon update'an nya jgn lama. sudah service, tapi di aplikasi belum update.",positif,mohon update an nya jgn service aplikasi belum update
Best,positif,best
Pelayanannya sangat bagus,positif,layan bagus
atm danamon nomor rekening:500000plat nomor civic hondaD1234DA,negatif,atm danamon nomor rekening plat nomor civic hondad da
"Daftar doang ge susah bener , no rangka atau mesin salah mulu padahal udah bener , heran sama apk ini",negatif,daftar doang ge susah bener no rangka mesin salah mulu bener heran aplikasi
gagal registrasi di otp.. sudah email ke ecare nunggu di follo up utk update bintang lagi,negatif,gagal registrasi otp email ecare nunggu follo up utk update bintang
Sangat membantu untuk booking service,positif,bantu booking service
Sangat memuaskan. Pelayanannya ramah. Sangat baik..,positif,muas layan ramah
Jempol 4 Buat Mas Muhkti Sales Honda Gajah Mada.,positif,jempol mas muhkti sales honda gajah mada
"hari ini ganti oli mobil sekaligus recall front passenger's @honda kencana keranji. good experience u/ tingkat pelayanannya.mulai dari tindakan security sampai ke Service Advisor nya, Mb Talitha Ivana dibantu sekali & diberi penjelasan yg baik recomen u/ yg ada kebutuhan terkait kendaraan ""Mobil"" Honda hold on untuk services baiknya👌🏻☕️",positif,ganti oli mobil recall front passenger kencana keranji good experience tingkat layan tindak security service advisor nya mb talitha ivana bantu jelas yg recomen yg butuh kait kendara mobil honda hold on services baik
Bintang 1 karna untuk update pengerjaan mobil yg d service ngk ada.. Apk cuma bisa buat boking doang .. menuh menuhin memory hp doang. Harusnya apk ini bisa untuk pengecekan pengerjaan mobil sudah selesai atau belum di servicenya&total biaya .. Jadi sbg pengguna H-ECARE terbantu dengan adanya info tersebut.,negatif,bintang update kerja mobil yg service ngk aplikasi boking doang menuh menuhin memory hp doang aplikasi kece kerja mobil selesai belum servicenya total biaya sbg guna ecare bantu info
"Keren lebih mudah, untuk jadwal servis tidak menunggu antrian lagi. Saya sudah mencoba sekali, menggunakannya bagus kok tinggal klik boking, waktu dan jamnya. Tinggal ke loket tunjukin boking kita, langsung dilayani tanpa ngambil no antrian lagi. Buat rekan2 yang baru membeli mobil, emang agak lama verifikasinya karena satunya menunggu STNKnya di verifikasi dari aplikasi. Tq ini review saya kalau saya pribadi puas dengan pelayanan aplikasi ini.",positif,keren mudah jadwal servis tidak tunggu antri coba guna bagus tinggal klik boking jam tinggal loket tunjukin boking langsung layan ngambil no antri rekan beli mobil emang verifikasi satu tunggu stnknya verifikasi aplikasi tq review pribadi puas layan aplikasi
No rangka dan mesin ga sesuai padahal ngikutin yg d stnk. Aneh wkwk,negatif,no rangka mesin tidak sesuai ngikutin yg stnk aneh wkwk
masih susah registrasi dan approve verifikasinya bertele tele menyulitkan kita semuanya 🤔 segini dulu ratingnya,negatif,susah registrasi approve verifikasi tele tele sulit gin ratingnya
"Sekelas HONDA punya aplikasi sampah begini ya, mau daftar susah bener, malah di notif kalau mobil sdh pernah di daftarkan, lah.... baru jg di instal ini aplikasi, baru jg pny mobil merk HONDA, plat nomer jg blm ada sebulan umurnya... ya mobil nya, ya bengkelnya, ya aftersales nya, bahkan smpe aplikasinya jg sampah.. nyesel bner ambil ni mobil.. mobil baru sebulan jg trouble nya udh bejibun...",negatif,kelas honda aplikasi sampah ya daftar susah bener notif mobil sdh daftar instal aplikasi pny mobil merk honda plat nomer belum bulan umur ya mobil nya ya bengkel ya aftersales nya smpe aplikasi sampah nyesel bner ambil ni mobil mobil bulan trouble nya bejibun
Nilai 10 dah pelayanan terbaik salesnya juga sangat ramah,positif,nilai dah layan baik salesnya ramah
Mantap pakai Mobil Honda.,positif,mantap pakai mobil honda
Good aplication,positif,good aplication
B AJA. ga ada yg berguna. Malah bikin pusing para seles minta tolong aplikasi kasi bintang 5. Gua sih ogah. Pelayanan kurang bagus,negatif,tidak yg guna bikin pusing les tolong aplikasi kasi bintang gua sih ogah layan kurang bagus
Terima kasih sudah dibantu mendaftarkan unit.,positif,terima kasih bantu daftar unit
"Kalo ada bintang 0, sy kasih 0 aja. Berulang2 masukin nomor mesin dan nomor rangka bilangnya kendaraan tidak tersedia, padahal jelas sudah ditulis sesuai STNK tetap gagal, ilegal apa motor gw beli??? Gak jelas banget",negatif,kalo bintang kasih ulang masukin nomor mesin nomor rangka bilang kendara tidak sedia tulis sesuai stnk gagal ilegal motor gw beli tidak banget
Bagus.....,positif,bagus
"Pelayanan bagus dan ramah , dan hasil service bagus , juga tempat menunggunya nyaman sekali",positif,layan bagus ramah hasil service bagus tunggu nyaman
Mantabb,positif,mantabb
Pakai aplikasi ini jadi memudahkan banget Sukses terus yaa hondaaaa,positif,pakai aplikasi mudah banget sukses yaa honda
Makasih pelayanan bagus,positif,makasih layan bagus
Honda e-care paling oke,positif,honda care oke
Top markotop,positif,top markotop
Mohon ditambah fasilitas cancel dan reschedule booking servisnya,positif,mohon tambah fasilitas cancel reschedule booking servis
"Dengan adanya aplikasi ini, saya kira memudahkan konsumen untuk melakukan booking ternyata BOBROK. Terimakasih Honda sudah membuang kuota data saya, fix uninstal",negatif,aplikasi mudah konsumen booking bobrok terimakasih honda buang kuota data fix uninstal
Untuk booking service respon konfirmasi lama,negatif,booking service respon konfirmasi
Kemudahan layanan aplikasi,positif,mudah layan aplikasi
"Aplikasi masih butuh pengembangan . Pelayanan luar biasa baik, diantar sampai mobil, dijelaskan detail pembayaran, pegawai ramah sekali, waiting room mantap . walaupun saran , di waiting room next smg ada kue2 selain snack. Tingkatkan terus dan pertahankan pelayanan ya",positif,aplikasi butuh kembang layan antar mobil detail bayar pegawai ramah waiting room mantap saran waiting room next smg kue snack tingkat tahan layan ya
Sangat Membantu bagi pengguna Mobil Honda,positif,bantu guna mobil honda
Mempermudah,positif,mudah
Sangat baik dan cepat dalam response pelanggan..,positif,cepat response langgan
Biar lebih mudah,positif,biar mudah
Aplikasi membantu,positif,aplikasi bantu
Bearing compresor honda freed,positif,bearing compresor honda freed
kemarin saya gk booking servis lgsung datang aja .alkhamdulillah pelayanan cepat dan bagus,positif,kemarin tidak booking servis lgsung alkhamdulillah layan cepat bagus
"Susah ribet..mw booking service hrs ulang2 isi data,no mesin, no rangka,isi profile Lg..udh sejam muter2 aja...d buat simple dong..kan mw booking bukan mw beli..masukin plat,jam booking aja cukup kali ya..ga PK ribet..mohon d rubah syatemnta ya..tnx",negatif,susah ribet mw booking service hrs ulang isi data no mesin no rangka isi profile lg jam muter simple mw booking bukan mw beli masukin plat jam booking kali ya tidak pk ribet mohon rubah syatemnta ya tnx
Udah daftar di aplikasi tapi tapi service nya full antri terus ngapain buat aplikasi untuk service kalau kek gini,negatif,daftar aplikasi service nya full antri ngapain aplikasi service kek gin
"Terbaik, sangat membantu, trust worty",positif,baik bantu trust worty
Aplikasi tidak berguna mau booking jam service ga bisa semua sudah merah dan silang semua,negatif,aplikasi tidak guna booking jam service tidak merah silang
Sangat membantu buat pemula,positif,bantu mula
"Sangat slow respon, dari membuka aplikasi sampai dengan menunggu konfirmasi. Tingkatkan kembali pelayanannya.",negatif,slow respon buka aplikasi tunggu konfirmasi tingkat layan
Halo kak. Saya pengguna baru di honda dan di arahin suruh pake APK ini tapi kenapa ga bisa di buka ya APK nya cuma mentok sampe LOGO doank. Trimakasih,negatif,halo kak guna honda arahin suruh pake aplikasi tidak buka ya aplikasi nya mentok sampe logo doank trimakasih
"Update sebelumnya force close, sekarang stuck di loading",negatif,update force close stuck loading
"Setelah di update malah gak bisa masuk ini gimana hello honda saya mau booking service gak bisal,ini sudah 2hari loging SUSAH",negatif,update tidak masuk gimana hello honda booking service tidak bisal loging susah
"thanks, mempermudah saya sebagai konsumen honda.",positif,thanks mudah konsumen honda
Aplikasi belum matang. Register tdk bisa,negatif,aplikasi belum matang register tidak
"Sudah beberapa kali Booking via Honda E Care selalu di bilang nya jadwal nya penuh oleh Cust Service HJC Pangjay . Padahal di jadwal nya masih kosong di Honda Ecare, Jadi buat apa booking di aplikasi tapi setelah itu selalu di rubah jadwal nya oleh CS HJC Pangjay. Tolong dong ini dari Pihak manajement di perhatikan lagi kinerja nya. Ada kasus lagi di Honda ECare saya dapat notifikasi utk upgrade software tape Audio tapi di bengkel nya bilang enggak ada yg perlu di upgrade.",negatif,kali booking via honda care bilang nya jadwal nya penuh cust service hjc pangjay jadwal nya kosong honda ecare booking aplikasi rubah jadwal nya cs hjc pangjay tolong manajement perhati kerja nya honda ecare notifikasi utk upgrade software tape audio bengkel nya bilang yg upgrade
Riwayat servis sudah muncul tahun 2023,positif,riwayat servis muncul
"Kemaren tidak bisa di daftarkan, minta bantuan lewat email akhir nya di bantu, ternyata di sistem tercatat no mesin nya harus di sisipkan garis strip (-) dan pendaftaran berhasil , terimakasih CS honda e-care",positif,kemaren tidak daftar bantu email nya bantu sistem catat no mesin nya sisip garis strip daftar hasil terimakasih cs honda care
"Sekelas honda ngeluarin aplikasi ko seperti hanya pelengkap saja, tidak diperhatikan kemudahan dan fiturnya. Mestinya yang menjadi keluhan pelanggan segera di sempurnakan, mendaftarkan kendaraan aja susah jangan sampai pelanggan resah seakan kendaraannya tidak terdaftar di honda nya sendiri. maaf mohon ditingkatkan...",negatif,kelas honda ngeluarin aplikasi ko lengkap tidak perhati mudah fiturnya mesti keluh langgan sempurna daftar kendara susah jangan langgan resah akan kendara tidak daftar honda nya maaf mohon tingkat
Sangat membantu customer.,positif,bantu customer
"Kak.., ini aplikasi update, log out sendiri. Saya lupa kata sandi, kok tidak bisa di klik lupa sandi dan kirim email dinotif, data pengguna tidak ditemukan. Gimana yaa kak? Tks",positif,kak aplikasi update log out lupa sandi tidak klik lupa sandi kirim email dinotif data guna tidak temu gimana yaa kak tks
Ribet,negatif,ribet
"Pingin service bayar aja kok tambah ribet,",negatif,pingin service bayar ribet
"Pelayanan baik dan ramah, Utk makin diperbanyak paket hemat servisnya biar bikin tdk kantong kering☺",positif,layan ramah utk banyak paket hemat servis biar bikin tidak kantong kering
"Jadwalnya booking service tdk singkron dengan dealer,..tdk update. Auto delete",negatif,jadwal booking service tidak singkron dealer tidak update auto delete
Sangat memudahkan saat booking service.,positif,mudah booking service
"Ni bingung cara daftarin,mental terus dan di minta cek nmr rangka dan nmr mesin pdhal sdh bener isi nya,bagaimana cara nya agar ngga mental terus isi nya",positif,ni bingung daftarin mental cek nmr rangka nmr mesin pdhal sdh bener isi nya nya tidak mental isi nya
"Aplikasi payah, sangat susah dbuka.",negatif,aplikasi payah susah dbuka
Sangat bagus dan membantu konsumen dalam melakukan booking service,positif,bagus bantu konsumen booking service
"Applikasi ini sungguh beban sekali mau daftar z salah terus no rangka..padahal sudah sesuai no di sntk..mungkin ini aplikasi WAJIB DI PERBAIKI ,KALAU ADA MINUS STAR AKU TARO TUH",negatif,applikasi sungguh beban daftar salah no rangka sesuai no sntk aplikasi wajib baik minus star taro tuh
Buat yg daftarin dn gk bisa. Dia tunggu 2 minggu dulu dri serah Terima unitnguys. Ada namanya surat jalan kalau sdh masuk sistem. Baru data surat jln sementara tersebut dpt di pakai sebagai dta sementara buat daftarkan ke aplikasi e care. Semoga bermanfaat.,positif,yg daftarin dn tidak tunggu minggu dri serah terima unitnguys nama surat jalan sdh masuk sistem data surat jln dpt pakai dta daftar aplikasi care moga manfaat
"Service Jadi lebih Mudah dan Test Driver juga bisa langsung di aplikasi ini, keren banget",positif,service mudah test driver langsung aplikasi keren banget
"Mau daftarin kendaraan aja sulit. Padahal nmr udah bener tapi kagak bisa, di suruh periksa kembali terus. Aneh sama aja gabisa digunain.",negatif,daftarin kendara sulit nmr bener kagak suruh periksa aneh gabisa digunain
"Data service history mobil saya tdk pernah diupdate, kasih bintang 1 aja.",negatif,data service history mobil tidak diupdate kasih bintang
Sangat Membantu👍,positif,bantu
"Sangat membantu, utk pemilik mobil honda",positif,bantu utk milik mobil honda
"Sangat membantu untuk pengguna honda,dtingkatkan terus performa aplikasinya",positif,bantu guna honda dtingkatkan performa aplikasi
sangat membatu,positif,batu
"Aplikasi ini sangat membantu sekali bagi pemilik mobil honda. Kemudahan dalam perawatan kendaraan baik informasi produk, bengkel jg servis bisa diakomodasi melalui Honda e-care. Semoga bisa dipertahankan kualitasnya dan menjadi lebih baik lagi",positif,aplikasi bantu milik mobil honda mudah awat kendara informasi produk bengkel servis akomodasi honda care moga tahan kualitas
Memudahkan,positif,mudah
SAYA UDAH DOWNLOAD UDAH MASUKAN NO RANGKA UDH MASUKAN NO MESIN NO POL MASA GA BISA TAMBAHKAN KENDARAAN DENGAN ALASAN PERIKSA KEMBALI NO MESIN DAN NO RANGKA ANDA UDAH JELAS JELAS SAYA SESUAIKAN DENGAN YANG DI BPKB,negatif,download masuk no rangka masuk no mesin no pol tidak tambah kendara alas periksa no mesin no rangka sesuai bpkb
"Aplikasi ngaco, udah regist dan isi data lengkap mobil segala macem sampe no KTP dan berhasil regist. Tapi, setelah sehari gak dibuka data regist mobil saya hilang lagi, mesti regist ulang. Kalo punya aplikasi belum siap launching gausah launching, awas aja kalo sampe data saya bocor di pake sama oknum. Saya somasi nih aplikasi.",negatif,aplikasi ngaco regist isi data lengkap mobil macem sampe no ktp hasil regist hari tidak buka data regist mobil hilang mesti regist ulang kalo aplikasi belum launching gausah launching awas kalo sampe data bocor pake oknum somasi nih aplikasi
Udah booking status 2 hari menunggu konfirmasi terus tidak ada pihak dealler yg menghubungi pas hari H malah dibatalkan sepihak,negatif,booking status tunggu konfirmasi tidak dealler yg hubung pas batal
"Aplikasi yg sangat memudahkan pelanggan, terutama untuk proses booking servis",positif,aplikasi yg mudah langgan proses booking servis
Sangat membantu sekali untuk proses servicenya dan klaim,positif,bantu proses servicenya klaim
Sangat memuaskan & membantu sekali terbantu sekali dengan aplikasi nya saat mau booking service lebih mudah. 👍👍👍👍👍👍👍,positif,muas bantu bantu aplikasi nya booking service mudah
Mohon bantu dong kenapa aplikasinya tidak bisa digunakan. Padahal udah pernah dipakai juga. Tp semuanya hilang. Sudah isi no rangka dll nya. Tp pas masukin email tidak bisa dibuka. Sudah coba registrasi ulang malah sudah terdaftar,positif,mohon bantu aplikasi tidak pakai hilang isi no rangka dll nya pas masukin email tidak buka coba registrasi ulang daftar
"Tolong ga usah kirim2 pesan sok mengingat untuk server, gara2 pesan itu saya debat sama orang rumah, jadi jangan menggangguku kenyamanan terimakasih!!!",negatif,tolong tidak kirim pesan sok server gara pesan debat orang rumah jangan ganggu nyaman terimakasih
"ada yang bisa jawab, saya daftar kendaraan baru saat pengisian nomor rangka, muncul pemberitahuan kendaraan sudah didaftarkan akun lain dan muncul dua opsi 1.saya pemilik baru 2. permintaan akses data kepemilik utama. pertanyaannya siapa pemilik utama sedangkan saya beli yang baru?",positif,daftar kendara isi nomor rangka muncul pemberitahuan kendara daftar akun muncul opsi milik minta akses data milik utama tanya milik utama beli
Aplikasinya lengkap,positif,aplikasi lengkap
Mempermudah custemer,positif,mudah custemer
Sangad membantu,positif,sangad bantu
Ok pokoknya,positif,ok pokok
Honda ada tidak aplikasi untuk bisa mengecek spareparts dan harga per part seperti merk mobil lain?,positif,honda tidak aplikasi ecek spareparts harga part merk mobil
Apk mantap,positif,aplikasi mantap
"Aplikasi yang bagus, bermanfaat sekali untuk pengguna mobil honda",positif,aplikasi bagus manfaat guna mobil honda
trimakasih ats pelayanan nya dan servis nya sekali lagi trimakasih telah mewujudkan impian mobil kami trim honda Sukses terus yah Gbu,positif,trimakasih ats layan nya servis nya trimakasih wujud impi mobil trim honda sukses yah gbu
Mantap honda,positif,mantap honda
Pelayanan lumayan memuaskan.,positif,layan lumayan muas
Aplikasi ini sbenarnya bagusss Tapiiiiiiii..... Knp...knp... Kok saya baru dikasih tahu sama pihak hondaaaaa adanya apk ini lah wong saya sebagai memiliki mobil Honda pembelian th2018 Sudah habisssssss dan lewatttt free servic nya alias expired sunguh2 sangat menyesal sama pihak Honda Alisa tidak pernah saya pakai fre servisnya Sungguh keterlaluan managmen Honda Saya tidak pernah dikasih tahu sama pihak Honda kalo ada free servis sungguh keterlaluan Kalo sudah lewat baru dikasih tahu menyebalkan,negatif,aplikasi sbenarnya bagus knp knp kasih honda aplikasi milik mobil honda beli th habis free servic nya alias expired sunguh sesal honda alisa tidak pakai fre servis sungguh managmen honda tidak kasih honda kalo free servis sungguh kalo kasih sebal
Mobil Honda Brio RS urbanit kwalitas bagus dan memuaskan,positif,mobil honda brio rs urbanit kwalitas bagus muas
It's ok,positif,it ok
Bagus bgttt sgt membantu,positif,bagus banget sgt bantu
Siiip,positif,sip
Sangat membantu dan mempermudah servis dan pemeliharaan mobil.. hanya saja kalau bisa beaya servisnya diturunkan....shg lebih menjamin kendaraan honda.,positif,bantu mudah servis pelihara mobil beaya servis turun shg jamin kendara honda
Sangat membantu dalam memanage mobil honda tercinta,positif,bantu memanage mobil honda cinta
semakin mudah untuk pelanggan,positif,mudah langgan
Sangat memudahkan informasi mengenai mobil Honda ...mantabbb,positif,mudah informasi mobil honda mantab
Nice aplikasi,positif,nice aplikasi
Sangat bermanfaat,positif,manfaat
"Lumayanlah...dari pada tidak ada, huruf kekecilan sulit membaca keterangannya. Bisa tidak untuk sparepart ada info harganya, terima kasih🙏👌",negatif,lumayan tidak huruf kecil sulit baca terang tidak sparepart info harga terima kasih
Top markotop....👍👍👍,positif,top markotop
Sangat memudahkan,positif,mudah
"Permintaan akses ke pemilik utama itu melalui apa, sms atau wa?",negatif,minta akses milik utama sms wa
Lumayan membantu untuk booking servis,positif,lumayan bantu booking servis
Untuk booking servis terkendala..,positif,booking servis kendala
Aplikasi nya sangat mempermudah pengguna Honda,positif,aplikasi nya mudah guna honda
Mantappp,positif,mantap
Gak bisa dipake :(,negatif,tidak dipake
Muhammad Gunawan Pulungan,positif,muhammad gunawan pulung
"Booking service seminggu sebelum jadwal dan sudah dikonfirmasi setuju oleh IDK 2 Medan, sehari sebelum jadwal dicancel tanpa ada solusi. Apa gunanya booking? After sales honda klo udah dibeli mobilnya jd begini, sbelum beli mobil kayanya bagus2 aja.",negatif,booking service minggu jadwal konfirmasi tuju idk medan hari jadwal dicancel solusi guna booking after sales honda klo beli mobil jd sbelum beli mobil kaya bagus
"Sekelas Honda , HPM , buat aplikasi banyak error , Saya masukan nomer rangka All New Civic RS yang terdeteksi aplikasi Civic HB , Informasi service berkala juga ga akurat, Ga ngerti ini Honda sedunia apa cuma di indo saja , Sama halnya simpang siurnya informasi aftersales, service , product knowladge yang selalu beda antara dealer , dan call cantre HPM , PENTING : HARUSNYA ADA MANUAL BOOK tersendiri Tentang HONDA SENSING karena ini fitur semiotonomus yg bisa berbahaya kalau tidak Paham.",negatif,kelas honda hpm aplikasi error masuk nomer rangka all new civic rs deteksi aplikasi civic hb informasi service kala tidak akurat tidak ngerti honda dunia indo hal simpang siur informasi aftersales service product knowladge beda dealer call cantre hpm manual book sendiri honda sensing fitur semiotonomus yg bahaya tidak paham
Semakin Ribet. Kemarin bisa cek service record dengan mudah. tanpa isi data diri atau kirim persetujuan ke pemilik sebelum nya. Sekarang harus isi data diri / kirim persetujuan ke pemilik sebelum nya. Bagaimana kalau misal nya calon pembeli mobil bekas tau kalau itu mobil kilometer masih asli dan mobil selalu terawat di honda kalau proses nya ribet. Semoga Di Kembalikan Seperti Kemarin Aplikasi Nya. Thx U,negatif,ribet kemarin cek service record mudah isi data kirim tuju milik nya isi data kirim tuju milik nya nya calon beli mobil bekas tau mobil kilometer asli mobil awat honda proses nya ribet moga kembali kemarin aplikasi nya thx
Tidak bisa login. Kayaknya jadi malas melayani,negatif,tidak login kayak malas layan
"masa gabisa booking sih, hahahaa trus gunanya aplikasi apaaa dongggg",negatif,gabisa booking sih hahahaa trus guna aplikasi
"Dulu sempat bisa booking servis, skrg dah ga bisa..data kendaraan hilang, input lgi suruh konfirmasi pemilik, pdhl saya pemilik pertama.. smpe skrg blm bisa ... Mohon solusinya..",negatif,booking servis skrg dah tidak data kendara hilang input lgi suruh konfirmasi milik pdhl milik smpe skrg belum mohon solusi
Rak cetho,negatif,rak cetho
"Cepat, tepat dan memuaskan",positif,cepat muas
"Mantap digitalisasi dibidang industri otomotif,...",positif,mantap digitalisasi bidang industri otomotif
"nomor rangka dan nomor mesin selalu salah, padahal udah isi dengan benar",negatif,nomor rangka nomor mesin salah isi
Sangat memuaskan.petugas ramah2,positif,muas tugas ramah
Sudah bagus,positif,bagus
"Update malah data kendaraan hilang,apk payah",negatif,update data kendara hilang aplikasi payah
"Sekarang saya kasih bintang 5, aplikasinya respon, ringan dan info yang ditampilkan lengkap Sangat membantu",positif,kasih bintang aplikasi respon ringan info tampil lengkap bantu
Tidak bisa login,negatif,tidak login
Gabisa login,negatif,gabisa login
Forr busnesss,positif,forr busnes
"Tidak bisa di tambahkan padahal sudah isi nomor rangka dan lain2nya Perbaikan dong min, biar lebih mudah",negatif,tidak tambah isi nomor rangka nya baik min biar mudah
